eps_target,eps_logged,delta,q,steps,noise_multiplier,opt_order,best_val_acc,best_val_epoch,test_acc
1,1.0,1e-05,0.004,250,1.110524928968584,13.0,0.3952000003432234,96,0.5352666666666667
2,2.0,1e-05,0.004,250,0.8241441975866324,7.0,0.4016000002250075,99,0.5520666666666667
4,3.999999999999751,1e-05,0.004,250,0.6292277283252811,4.5,0.4162666651606559,98,0.5661333333333334
8,7.999999999999995,1e-05,0.004,250,0.4923108381419563,3.0,0.4201999984929959,99,0.5701333333333334
16,15.999999999999993,1e-05,0.004,250,0.37708922736951694,2.0,0.4146000000710289,97,0.5734666666666667
